SA2 Code 2018,SA2 2018,DHB of residence,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
Unknown,Unknown,Unknown,"66,039",Masked,Masked,>950,>950,,,Masked,
157100,Turanga,Counties Manukau,"2,900",Masked,"2,748",>950,948,,,Masked,
157200,Rongomai East,Counties Manukau,"1,836","1,650","1,579",899,860,,,Masked,
157300,Ormiston North,Counties Manukau,"2,209",Masked,Masked,>950,>950,,,Masked,
157400,Maraetai,Counties Manukau,"2,132",Masked,Masked,>950,>950,,,Masked,
157500,Chapel Downs,Counties Manukau,"2,891",Masked,Masked,>950,>950,,,Masked,
157600,Wiri West,Counties Manukau,817,713,656,873,803,,,Masked,
157700,Clover Park North,Counties Manukau,"3,818","3,508","3,381",919,886,,,Masked,
157800,Mission Heights North,Counties Manukau,"3,067",Masked,Masked,>950,>950,,,Masked,
157900,Clover Park South,Counties Manukau,"3,442",Masked,"3,234",>950,940,,,Masked,
158000,Donegal Park,Counties Manukau,"3,705",Masked,Masked,>950,>950,,,Masked,
158100,Ormiston South,Counties Manukau,"5,672",Masked,Masked,>950,>950,,,Masked,
158200,Mission Heights South,Counties Manukau,"2,954",Masked,Masked,>950,>950,Mission Heights South,Pfizer Booster Plan,Masked,1000.0
158300,Hilltop (Auckland),Counties Manukau,"3,239",Masked,Masked,>950,>950,,,Masked,
158400,Wiri East,Counties Manukau,"3,819","3,390","3,195",888,837,,,Masked,
158500,Goodwood Heights,Counties Manukau,"3,968",Masked,Masked,>950,>950,,,Masked,
158600,Ormiston East,Counties Manukau,"3,014",Masked,Masked,>950,>950,,,Masked,
158700,Clendon Park North,Counties Manukau,"2,608","2,379","2,260",912,867,,,Masked,
158800,Burbank,Counties Manukau,"3,155","2,874","2,728",911,865,,,Masked,
158900,Tuscany Heights,Counties Manukau,"1,419",Masked,"1,333",>950,939,,,Masked,
159000,Totara Heights,Counties Manukau,"2,538",Masked,Masked,>950,>950,,,Masked,
159100,Homai East,Counties Manukau,"2,927","2,770","2,703",946,923,,,Masked,
159200,Homai West,Counties Manukau,"3,947","3,589","3,424",909,867,Homai West,Pfizer Booster Plan,Masked,1000.0
159300,The Gardens (Auckland),Counties Manukau,"3,438",Masked,Masked,>950,>950,,,Masked,
159400,Clarks Beach,Counties Manukau,"1,232",Masked,"1,165",>950,946,,,Masked,
159500,Clendon Park West,Counties Manukau,"2,571","2,405","2,319",935,902,,,Masked,
159600,Hillpark North,Counties Manukau,"2,077",Masked,"1,959",>950,943,,,Masked,
159700,Clendon Park East,Counties Manukau,"1,729","1,634","1,554",945,899,,,Masked,
159800,Karaka Creek,Counties Manukau,"1,308",Masked,Masked,>950,>950,,,Masked,
159900,Rowandale West,Counties Manukau,"2,768","2,536","2,424",916,876,,,Masked,
160000,Rowandale East,Counties Manukau,"3,176","2,951","2,842",929,895,,,Masked,
160100,Manurewa Central,Counties Manukau,"3,082",Masked,"2,898",>950,940,,,Masked,
160200,Weymouth North,Counties Manukau,"3,899","3,667","3,518",940,902,,,Masked,
160300,Hillpark South,Counties Manukau,"2,687",Masked,"2,542",>950,946,,,Masked,
160400,Alfriston,Counties Manukau,"3,519","3,311","3,249",941,923,,,Masked,
160500,Weymouth East,Counties Manukau,"3,018","2,767","2,666",917,883,Weymouth East,Pfizer Booster Plan,Masked,500.0
160600,Leabank,Counties Manukau,"3,535","3,286","3,147",930,890,,,Masked,
160700,Weymouth South,Counties Manukau,"3,094","2,833","2,731",916,883,,,Masked,
160800,Manurewa East,Counties Manukau,"2,413","2,283","2,183",946,905,,,Masked,
160900,Manurewa South,Counties Manukau,"3,297","3,102","2,978",941,903,,,Masked,
161000,Randwick Park East,Counties Manukau,"2,150","2,011","1,964",935,913,,,Masked,
161100,Wattle Downs West,Counties Manukau,"3,201",Masked,"3,024",>950,945,,,Masked,
161200,Wattle Downs North,Counties Manukau,"1,967","1,768","1,672",899,850,,,Masked,
161300,Randwick Park West,Counties Manukau,"2,746","2,487","2,372",906,864,,,Masked,
161400,Kingseat-Karaka,Counties Manukau,"2,508","2,354","2,307",939,920,,,Masked,
161500,Wattle Downs East,Counties Manukau,"2,007","1,891","1,860",942,927,,,Masked,
161600,Takanini North,Counties Manukau,"2,069","1,942","1,866",939,902,,,Masked,
161800,Conifer Grove West,Counties Manukau,"2,764",Masked,Masked,>950,>950,,,Masked,
161900,Conifer Grove East,Counties Manukau,"1,790","1,662","1,612",928,901,,,Masked,
162000,Takanini West,Counties Manukau,"2,291",Masked,"2,137",>950,933,,,Masked,
162100,Takanini South,Counties Manukau,"5,354",Masked,Masked,>950,>950,,,Masked,
162200,Takanini Central,Counties Manukau,"1,070",Masked,Masked,>950,>950,,,Masked,
162300,Ardmore,Counties Manukau,"1,116",Masked,"1,041",>950,933,,,Masked,
162400,Glenbrook,Counties Manukau,"2,109","1,956","1,916",927,908,,,Masked,
162500,Hingaia,Counties Manukau,"2,256","2,136","2,100",947,931,,,Masked,
162600,Takanini South East,Counties Manukau,"2,441",Masked,Masked,>950,>950,,,Masked,
162700,Kawakawa Bay-Orere,Counties Manukau,"1,694","1,582","1,554",934,917,,,Masked,
162800,Papakura West,Counties Manukau,"1,592","1,466","1,428",921,897,,,Masked,
162900,Clevedon,Counties Manukau,"1,327",Masked,"1,253",>950,944,,,Masked,
163000,Papakura North,Counties Manukau,"3,323","3,150","3,036",948,914,,,Masked,
163100,Pahurehure,Counties Manukau,"2,790",Masked,Masked,>950,>950,,,Masked,
163200,Papakura Central,Counties Manukau,"2,815","2,651","2,576",942,915,,,Masked,
163300,Papakura North East,Counties Manukau,"3,146",Masked,Masked,>950,>950,,,Masked,
163400,Karaka Lakes,Counties Manukau,"2,064",Masked,Masked,>950,>950,,,Masked,
163500,Papakura Kelvin,Counties Manukau,"3,441","3,153","2,972",916,864,,,Masked,
163600,Papakura Massey Park,Counties Manukau,"2,171","2,057","1,967",947,906,,,Masked,
163700,Rosehill,Counties Manukau,"3,412","3,224","3,121",945,915,,,Masked,
163800,Patumahoe,Counties Manukau,"1,944",Masked,Masked,>950,>950,,,Masked,
163900,Papakura East,Counties Manukau,"2,584","2,410","2,316",933,896,,,Masked,
164000,Opaheke,Counties Manukau,"2,414","2,287","2,249",947,932,,,Masked,
164100,Papakura Industrial,Counties Manukau,187,176,167,941,893,,,Masked,
164200,Red Hill,Counties Manukau,"2,167","2,033","1,931",938,891,,,Masked,
164300,Drury,Counties Manukau,"1,200","1,112","1,079",927,899,,,Masked,
164400,Tamakae,Counties Manukau,"2,118","2,003","1,960",946,925,,,Masked,
164500,Hamilton Estate,Counties Manukau,"2,183","2,047","1,997",938,915,,,Masked,
164600,Drury Rural,Counties Manukau,"2,434","2,284","2,246",938,923,,,Masked,
164700,Waiuku Central,Counties Manukau,"1,087","1,000",979,920,901,,,Masked,
164800,Waiuku East,Counties Manukau,"1,423",Masked,"1,347",>950,947,,,Masked,
164900,Kendallvale,Counties Manukau,922,860,844,933,915,,,Masked,
165000,Puni,Counties Manukau,"1,443",Masked,Masked,>950,>950,,,Masked,
165100,Ramarama,Counties Manukau,"2,023",Masked,"1,900",>950,939,,,Masked,
165200,Hunua,Counties Manukau,"1,227","1,125","1,118",917,911,,,Masked,
165300,Pukekohe North West,Counties Manukau,"3,769","3,572","3,446",948,914,,,Masked,
165400,Anselmi Ridge,Counties Manukau,"2,442",Masked,"2,307",>950,945,,,Masked,
165500,Pukekohe West,Counties Manukau,"4,936",Masked,"4,652",>950,942,,,Masked,
165600,Cape Hill,Counties Manukau,"1,226",Masked,Masked,>950,>950,,,Masked,
165700,Rosa Birch Park,Counties Manukau,"1,798",Masked,"1,683",>950,936,,,Masked,
165800,Rooseville Park,Counties Manukau,"2,059",Masked,"1,925",>950,935,,,Masked,
165900,Cloverlea (Auckland),Counties Manukau,"2,129",Masked,Masked,>950,>950,,,Masked,
166000,Pukekohe Central,Counties Manukau,337,309,295,917,875,,,Masked,
166100,Pukekohe Hospital,Counties Manukau,"1,324",Masked,Masked,>950,>950,,,Masked,
166200,Buckland,Counties Manukau,974,Masked,Masked,>950,>950,,,Masked,
166300,Bombay Hills,Counties Manukau,"1,717","1,573","1,548",916,902,,,Masked,
166400,Ararimu,Counties Manukau,"1,824","1,678","1,649",920,904,,,Masked,
166500,Colville,Waikato,"1,356","1,106","1,061",816,782,,,Masked,
166700,Coromandel,Waikato,"1,592","1,362","1,315",856,826,,,Masked,
166900,Mercury Bay North,Waikato,"1,620","1,377","1,328",850,820,,,Masked,
167000,Whitianga North,Waikato,"1,500","1,345","1,308",897,872,,,Masked,
167100,Whitianga South,Waikato,"3,714","3,391","3,312",913,892,,,Masked,
167200,Thames Coast,Waikato,"1,555","1,401","1,360",901,875,,,Masked,
167300,Cooks Beach-Ferry Landing,Waikato,437,392,387,897,886,,,Masked,
167400,Mercury Bay South,Waikato,"1,171","1,039","1,002",887,856,,,Masked,
167500,Kauaeranga,Waikato,503,425,417,845,829,,,Masked,
167600,Thames North,Waikato,"1,754","1,593","1,549",908,883,,,Masked,
167700,Thames Central,Waikato,"1,011",927,894,917,884,,,Masked,
167800,Thames South,Waikato,"2,956","2,654","2,584",898,874,,,Masked,
167900,Hikuai,Waikato,189,156,143,825,757,,,Masked,
168000,Totora-Kopu,Waikato,766,715,696,933,909,,,Masked,
