SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
108900,Bream Head,Northland,Maori,94,84,82,894,872,Bream Head,Pfizer Booster Plan,22.0,282.05128205128204
109000,Waipu,Northland,Maori,284,229,223,806,785,Waipu,Pfizer Booster Plan,44.0,198.19819819819816
109000,Waipu,Northland,Pacific Peoples,40,35,35,875,875,Waipu,Pfizer Booster Plan,Masked,103.44827586206895
109100,Kaipara Coastal,Northland,Maori,844,631,569,748,674,Kaipara Coastal,Pfizer Booster Plan,67.0,105.51181102362204
109100,Kaipara Coastal,Northland,Pacific Peoples,47,41,34,872,723,Kaipara Coastal,Pfizer Booster Plan,Masked,85.71428571428571
109200,Maungaru,Northland,Maori,249,214,199,859,799,Maungaru,Pfizer Booster Plan,27.0,131.06796116504853
109300,Dargaville,Northland,Maori,"1,340","1,051",948,784,707,Dargaville,Pfizer Booster Plan,102.0,98.83720930232558
109300,Dargaville,Northland,Pacific Peoples,202,185,174,916,861,Dargaville,Pfizer Booster Plan,9.0,52.02312138728324
109400,Ruawai-Matakohe,Northland,Maori,469,374,359,797,765,Ruawai-Matakohe,Pfizer Booster Plan,43.0,119.77715877437326
109500,Otamatea (Kaipara District),Northland,Maori,170,122,111,718,653,Otamatea (Kaipara District),Pfizer Booster Plan,11.0,98.21428571428572
109600,Maungaturoto,Northland,Maori,179,156,147,872,821,Maungaturoto,Pfizer Booster Plan,12.0,79.47019867549669
109700,Kaiwaka,Northland,Maori,428,328,301,766,703,Kaiwaka,Pfizer Booster Plan,43.0,144.78114478114475
109800,Mangawhai Rural,Northland,Maori,174,136,131,782,753,Mangawhai Rural,Pfizer Booster Plan,17.0,154.54545454545453
109900,Mangawhai Heads,Northland,Maori,165,148,136,897,824,Mangawhai Heads,Pfizer Booster Plan,28.0,207.40740740740745
110100,Mangawhai,Northland,Maori,72,62,57,861,792,Mangawhai,Pfizer Booster Plan,9.0,145.16129032258064
110200,Okahukura Peninsula,Waitemata,Maori,175,148,137,846,783,,,Masked,
110400,Cape Rodney,Waitemata,Maori,365,315,306,863,838,Cape Rodney,Pfizer Booster Plan,Masked,200.0
110400,Cape Rodney,Waitemata,Pacific Peoples,50,42,40,840,800,,,Masked,
110500,Wellsford,Waitemata,Maori,287,222,207,774,721,,,Masked,
110500,Wellsford,Waitemata,Pacific Peoples,64,56,55,875,859,,,Masked,
110700,South Head,Waitemata,Maori,359,312,298,869,830,,,Masked,
110700,South Head,Waitemata,Pacific Peoples,52,40,39,769,750,,,Masked,
110800,Kaipara Hills,Waitemata,Maori,259,220,208,849,803,,,Masked,
110900,Dome Valley-Matakana,Waitemata,Maori,80,68,64,850,800,,,Masked,
111100,Warkworth West,Waitemata,Maori,145,124,120,855,828,Warkworth West,Pfizer Booster Plan,Masked,1000.0
111100,Warkworth West,Waitemata,Pacific Peoples,89,Masked,Masked,>950,>950,,,Masked,
111200,Puhoi Valley,Waitemata,Maori,193,170,162,881,839,,,Masked,
111200,Puhoi Valley,Waitemata,Pacific Peoples,57,Masked,Masked,>950,>950,,,Masked,
111300,Warkworth East,Waitemata,Maori,197,170,163,863,827,,,Masked,
111300,Warkworth East,Waitemata,Pacific Peoples,163,Masked,Masked,>950,>950,,,Masked,
111500,Tawharanui Peninsula,Waitemata,Maori,76,69,67,908,882,,,Masked,
111600,Te Kuru,Waitemata,Maori,147,Masked,134,>950,912,,,Masked,
111700,Snells Beach,Waitemata,Maori,233,215,202,923,867,,,Masked,
111700,Snells Beach,Waitemata,Pacific Peoples,103,Masked,Masked,>950,>950,,,Masked,
111800,Barrier Islands,Auckland,Maori,168,134,128,798,762,,,Masked,
111900,Algies Bay-Scotts Landing,Waitemata,Maori,42,Masked,Masked,>950,>950,,,Masked,
112100,Wainui-Waiwera,Waitemata,Maori,96,89,87,927,906,,,Masked,
112200,Parakai,Waitemata,Maori,187,170,161,909,861,,,Masked,
112300,Helensville Rural,Waitemata,Maori,103,94,90,913,874,,,Masked,
112400,Helensville,Waitemata,Maori,406,349,332,860,818,,,Masked,
112400,Helensville,Waitemata,Pacific Peoples,101,86,83,851,822,,,Masked,
112500,Waitoki,Waitemata,Maori,63,55,53,873,841,,,Masked,
112600,Waikoukou Valley,Waitemata,Maori,85,80,77,941,906,,,Masked,
112700,Orewa North,Waitemata,Maori,165,155,153,939,927,,,Masked,
112700,Orewa North,Waitemata,Pacific Peoples,63,59,56,937,889,,,Masked,
112800,Hatfields Beach,Waitemata,Maori,102,95,94,931,922,,,Masked,
112900,Orewa South,Waitemata,Maori,133,124,119,932,895,,,Masked,
112900,Orewa South,Waitemata,Pacific Peoples,64,55,55,859,859,,,Masked,
113000,Orewa Central,Waitemata,Maori,149,138,136,926,913,,,Masked,
113000,Orewa Central,Waitemata,Pacific Peoples,69,57,56,826,812,,,Masked,
113100,Millwater North,Waitemata,Maori,75,Masked,Masked,>950,>950,,,Masked,
113200,Waipatukahu,Waitemata,Maori,155,143,142,923,916,,,Masked,
113300,Millwater South,Waitemata,Maori,131,119,116,908,885,,,Masked,
113400,Dairy Flat North,Waitemata,Maori,139,118,109,849,784,,,Masked,
113500,Dairy Flat West,Waitemata,Maori,53,45,43,849,811,,,Masked,
113600,Kingsway,Waitemata,Maori,82,Masked,Masked,>950,>950,,,Masked,
113600,Kingsway,Waitemata,Pacific Peoples,45,Masked,Masked,>950,>950,,,Masked,
113800,Silverdale Central (Auckland),Waitemata,Maori,49,39,37,796,755,,,Masked,
113900,Red Beach West,Waitemata,Maori,107,97,90,907,841,,,Masked,
114000,Red Beach East,Waitemata,Maori,184,Masked,173,>950,940,,,Masked,
114000,Red Beach East,Waitemata,Pacific Peoples,54,Masked,Masked,>950,>950,,,Masked,
114100,Silverdale South (Auckland),Waitemata,Maori,105,85,82,810,781,,,Masked,
114200,Waimauku,Waitemata,Maori,82,Masked,77,>950,939,,,Masked,
114400,Vipond,Waitemata,Maori,174,155,151,891,868,,,Masked,
114400,Vipond,Waitemata,Pacific Peoples,41,Masked,Masked,>950,>950,,,Masked,
114500,Muriwai,Waitemata,Maori,83,Masked,Masked,>950,>950,,,Masked,
114600,Stanmore Bay West,Waitemata,Maori,182,Masked,167,>950,918,,,Masked,
114700,Kumeu Rural West,Waitemata,Maori,104,Masked,98,>950,942,,,Masked,
114700,Kumeu Rural West,Waitemata,Pacific Peoples,65,Masked,60,>950,923,,,Masked,
114800,Okura Bush,Waitemata,Maori,60,53,49,883,817,,,Masked,
114900,Whangaparoa Central,Waitemata,Maori,248,223,217,899,875,,,Masked,
114900,Whangaparoa Central,Waitemata,Pacific Peoples,48,42,39,875,812,,,Masked,
115000,Kumeu-Huapai,Waitemata,Maori,233,Masked,Masked,>950,>950,,,Masked,
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,141,Masked,133,>950,943,,,Masked,
115100,Stanmore Bay East,Waitemata,Maori,214,198,193,925,902,,,Masked,
115200,Manly West,Waitemata,Maori,154,Masked,141,>950,916,,,Masked,
115200,Manly West,Waitemata,Pacific Peoples,46,42,40,913,870,,,Masked,
115300,Muriwai Valley-Bethells Beach,Waitemata,Maori,68,62,62,912,912,,,Masked,
115400,Tindalls-Matakatia,Waitemata,Maori,94,Masked,Masked,>950,>950,,,Masked,
115500,Coatesville,Waitemata,Maori,71,62,60,873,845,,,Masked,
115600,Dairy Flat South,Waitemata,Maori,62,51,51,823,823,,,Masked,
115700,Gulf Harbour North,Waitemata,Maori,118,Masked,112,>950,949,,,Masked,
115700,Gulf Harbour North,Waitemata,Pacific Peoples,47,Masked,Masked,>950,>950,,,Masked,
115800,Manly East,Waitemata,Maori,200,177,172,885,860,,,Masked,
115800,Manly East,Waitemata,Pacific Peoples,70,54,52,771,743,,,Masked,
115900,Riverhead,Waitemata,Maori,177,153,148,864,836,,,Masked,
115900,Riverhead,Waitemata,Pacific Peoples,64,Masked,Masked,>950,>950,,,Masked,
116000,Army Bay,Waitemata,Maori,63,Masked,Masked,>950,>950,,,Masked,
116000,Army Bay,Waitemata,Pacific Peoples,41,Masked,Masked,>950,>950,,,Masked,
116100,Kumeu Rural East,Waitemata,Maori,177,156,148,881,836,,,Masked,
116100,Kumeu Rural East,Waitemata,Pacific Peoples,88,Masked,81,>950,920,,,Masked,
116200,Gulf Harbour South,Waitemata,Maori,59,52,50,881,847,,,Masked,
116200,Gulf Harbour South,Waitemata,Pacific Peoples,40,37,36,925,900,,,Masked,
116400,Taupaki,Waitemata,Maori,88,Masked,81,>950,920,,,Masked,
116600,Paremoremo East,Waitemata,Maori,127,Masked,120,>950,945,,,Masked,
116600,Paremoremo East,Waitemata,Pacific Peoples,40,31,30,775,750,,,Masked,
116700,Albany Heights,Waitemata,Maori,104,96,93,923,894,,,Masked,
116700,Albany Heights,Waitemata,Pacific Peoples,48,Masked,Masked,>950,>950,,,Masked,
116800,Awaruku,Waitemata,Maori,123,Masked,Masked,>950,>950,,,Masked,
116800,Awaruku,Waitemata,Pacific Peoples,51,Masked,Masked,>950,>950,,,Masked,
116900,Fairview Heights,Waitemata,Maori,73,66,63,904,863,,,Masked,
117000,Whenuapai,Waitemata,Maori,415,382,377,920,908,,,Masked,
117000,Whenuapai,Waitemata,Pacific Peoples,211,Masked,196,>950,929,,,Masked,
117100,Waitakere Ranges North,Waitemata,Maori,77,Masked,Masked,>950,>950,,,Masked,
117200,Torbay,Waitemata,Maori,133,Masked,124,>950,932,,,Masked,
117200,Torbay,Waitemata,Pacific Peoples,58,Masked,Masked,>950,>950,,,Masked,
117300,Albany Central,Waitemata,Maori,110,95,90,864,818,,,Masked,
117400,Albany West,Waitemata,Maori,60,Masked,Masked,>950,>950,,,Masked,
117400,Albany West,Waitemata,Pacific Peoples,42,Masked,Masked,>950,>950,,,Masked,
117500,Glamorgan,Waitemata,Maori,138,129,126,935,913,,,Masked,
117500,Glamorgan,Waitemata,Pacific Peoples,43,Masked,Masked,>950,>950,,,Masked,
